1730640159692,1730640159702,10
1730640159709,1730640159716,7
1730640159716,1730640159724,8
1730640159724,1730640159731,7
1730640159731,1730640159739,8
1730640159739,1730640159745,6
1730640159746,1730640159752,6
1730640159752,1730640159759,7
1730640159759,1730640159765,6
1730640159766,1730640159770,4
1730640159770,1730640159775,5
1730640159775,1730640159779,4
1730640159779,1730640159783,4
1730640159783,1730640159788,5
1730640159788,1730640159792,4
1730640159792,1730640159797,5
1730640159797,1730640159801,4
1730640159801,1730640159805,4
1730640159805,1730640159810,5
1730640159810,1730640159814,4
1730640159814,1730640159819,5
1730640159819,1730640159824,5
1730640159824,1730640159828,4
1730640159828,1730640159833,5
1730640159833,1730640159837,4
1730640159837,1730640159842,5
1730640159842,1730640159846,4
1730640159846,1730640159850,4
1730640159851,1730640159855,4
1730640159855,1730640159859,4
1730640159859,1730640159864,5
1730640159864,1730640159868,4
1730640159868,1730640159873,5
1730640159873,1730640159878,5
1730640159878,1730640159882,4
1730640159882,1730640159887,5
1730640159887,1730640159891,4
1730640159891,1730640159895,4
1730640159895,1730640159901,6
1730640159901,1730640159905,4
1730640159905,1730640159910,5
1730640159910,1730640159915,5
1730640159916,1730640159920,4
1730640159920,1730640159924,4
1730640159925,1730640159929,4
1730640159929,1730640159933,4
1730640159934,1730640159938,4
1730640159938,1730640159942,4
1730640159942,1730640159947,5
1730640159947,1730640159951,4
